category,subcategory,journey_stage,issue_description,resolution_steps
Payment,Failed Transaction,Checkout,"Customer reports payment deducted but order not confirmed","1. Check transaction status in payment gateway logs. 2. If deducted, initiate refund within 3-5 business days. 3. Ask customer to retry with a different payment method. 4. Share transaction reference number for tracking."
Payment,UPI Failure,Checkout,"UPI payment failed but amount debited from bank account","1. Verify UPI transaction ID with the bank. 2. If amount is debited, it will auto-reverse within 24-48 hours. 3. If not reversed, raise dispute with the bank using UPI transaction ID. 4. Offer alternative payment method."
Payment,Refund Delay,Post-Purchase,"Customer hasn't received refund after 7 days","1. Check refund status in the payment dashboard. 2. Confirm the refund was initiated and note the reference ID. 3. Contact payment gateway if refund is stuck. 4. Inform customer of expected timeline (5-7 business days)."
Payment,OTP Issue,Checkout,"Customer not receiving OTP for payment verification","1. Ask customer to check spam/blocked messages folder. 2. Verify the registered mobile number is correct. 3. Suggest retrying after 2 minutes. 4. Offer alternative verification methods like email OTP."
Payment,Duplicate Charge,Post-Purchase,"Customer charged twice for the same order","1. Verify transaction logs for duplicate entries. 2. Confirm order was placed once. 3. Initiate immediate refund for the duplicate charge. 4. Send confirmation email with refund reference ID."
Payment,Payment Gateway Error,Checkout,"Payment page showing gateway error or timing out","1. Ask customer to clear browser cache and retry. 2. Suggest using a different browser or device. 3. Check if gateway is experiencing downtime. 4. Offer COD or alternative payment method."
Account,Login Failure,Pre-Purchase,"Customer unable to log in to their account","1. Ask customer to try password reset via registered email. 2. Verify account exists with the email/phone provided. 3. Check for account suspension or ban. 4. Escalate to tech team if issue persists after reset."
Account,Account Locked,Pre-Purchase,"Account locked after multiple failed login attempts","1. Verify customer identity via OTP on registered mobile. 2. Unlock account from admin panel. 3. Reset password and send temporary credentials. 4. Advise customer on account security best practices."
Account,KYC Pending,Onboarding,"Customer's KYC verification is pending or rejected","1. Ask customer to re-upload clear, valid documents. 2. Ensure documents match the name on the account. 3. Manually review uploaded documents within 24 hours. 4. Notify customer via email once KYC is approved or rejected with reasons."
Account,Profile Update,Account Management,"Customer unable to update mobile number or email","1. Verify customer identity with OTP on current registered contact. 2. Guide customer through profile update steps. 3. If OTP not received, check if number is blocked. 4. Update details manually from admin panel if needed."
Order,Order Not Placed,Checkout,"Order confirmation not received after payment","1. Check order database for the transaction. 2. If payment is captured but order not created, manually create the order. 3. Send confirmation email immediately. 4. Offer compensation if significant delay caused."
Order,Wrong Item,Post-Purchase,"Customer received a different item than ordered","1. Apologize and confirm the error. 2. Arrange immediate return pickup. 3. Dispatch the correct item with priority shipping. 4. Offer discount on next purchase as compensation."
Order,Order Delayed,Delivery,"Order not delivered within the promised timeframe","1. Check shipping partner tracking status. 2. Contact logistics partner for delay reason. 3. Provide updated estimated delivery date. 4. Offer partial refund or store credit if delay exceeds 48 hours."
Order,Order Cancellation,Pre-Dispatch,"Customer wants to cancel the order","1. Check if the order is still in pre-dispatch stage. 2. Cancel the order and initiate refund within 24 hours. 3. Send cancellation confirmation email. 4. If already shipped, initiate return process."
Order,Return Request,Post-Purchase,"Customer wants to return a product","1. Verify if the item is within the return window (typically 7-30 days). 2. Check product condition eligibility for return. 3. Schedule return pickup. 4. Process refund once returned item is received and inspected."
Delivery,Damaged Package,Post-Purchase,"Customer received a damaged or broken product","1. Apologize for the inconvenience. 2. Ask customer to share photos of damage. 3. Verify authenticity of damage claim. 4. Send replacement immediately or process full refund based on customer preference."
Delivery,Wrong Address,Pre-Delivery,"Order dispatched to wrong address","1. Contact logistics partner immediately to intercept. 2. Update delivery address in the system. 3. If not interceptable, initiate re-dispatch to correct address. 4. Offer priority shipping and keep customer informed."
Delivery,Delivery Agent Issue,Delivery,"Delivery agent misbehaved or didn't attempt delivery","1. Apologize on behalf of the delivery partner. 2. Verify non-delivery from logistics tracking. 3. Re-schedule delivery for the earliest slot. 4. Report the agent's behavior to the logistics partner and follow up."
Technical,App Crash,App Usage,"App crashes on opening or during checkout","1. Ask customer to update to the latest app version. 2. Suggest clearing app cache and data. 3. If issue persists, ask for device model and OS version. 4. Escalate to tech team with logs if needed."
Technical,Slow Loading,App Usage,"App pages loading very slowly","1. Ask customer to check internet connection speed. 2. Suggest closing background apps and retrying. 3. Clear app cache. 4. If server-side issue, acknowledge and provide ETA for resolution."
Technical,Search Failure,App Usage,"Search results not showing relevant products","1. Ask customer to use different search keywords. 2. Check if search index is up to date. 3. Provide direct link to the product if customer knows what they want. 4. Escalate search relevance issue to product team."
Technical,Payment Gateway Error,Checkout,"Technical error during payment processing","1. Ask customer to retry after 5 minutes. 2. Suggest using a different payment method. 3. Check gateway status page for incidents. 4. Manually process payment if issue persists and customer is urgent."
Coupon,Code Not Applied,Checkout,"Discount coupon not applying at checkout","1. Verify the coupon code is valid and not expired. 2. Check if the coupon applies to the items in cart. 3. Confirm minimum cart value is met. 4. Apply discount manually or provide a new valid coupon."
Coupon,Cashback Not Credited,Post-Purchase,"Promised cashback not credited to wallet","1. Verify the transaction qualifies for cashback. 2. Check cashback processing timeline (usually 3-7 days). 3. Manually credit cashback if timeline has passed. 4. Send confirmation of cashback credit."
